Picture of Painting of Festa del Redentore, rdf:label ,Picture of the Painting about Festa del Redentore by Brass Italico
Picture of Painting of Festa del Redentore, rdf:type picture
Picture of Painting of Festa del Redentore, dcterms:subject ,Venice Festa del Redentore Painting Veduta di Venezia con il ponte votivo durante la festa del Redentore
Picture of Painting of Festa del Redentore, crm:P4_has_time-span ,1950 ca.-before 1956
Picture of Painting of Festa del Redentore, ddesc:hasMaterialOrTechnique ,BW - gelatine silver print
Picture of Painting of Festa del Redentore, crm:P50_has_current_keeper ,Fototeca Zeri
Picture of Painting of Festa del Redentore, crm:P43_has_dimension ,10.3 × 13.3 cm
Picture of Painting of Festa del Redentore, dcterms:creator ,A.F.I. - Agenzia Fotografica Industriale
Picture of Painting of Festa del Redentore, dcterms:creator ,Brass Italico
